open_utc,type,close_utc,expected_close_utc,partition,rule
2018-01-04T00:00:00.000+00:00,early_close,2018-01-04T03:00:14.838+00:00,2018-01-04T03:59:59.999+00:00,train,close_time_before_nominal_end
2018-02-08T00:00:00.000+00:00,early_close,2018-02-08T00:28:14.788+00:00,2018-02-08T03:59:59.999+00:00,train,close_time_before_nominal_end
2018-02-08T04:00:00.000+00:00,missing,,2018-02-08T07:59:59.999+00:00,train,absent_from_UTC_grid
2018-02-08T08:00:00.000+00:00,missing,,2018-02-08T11:59:59.999+00:00,train,absent_from_UTC_grid
2018-02-08T12:00:00.000+00:00,missing,,2018-02-08T15:59:59.999+00:00,train,absent_from_UTC_grid
2018-02-08T16:00:00.000+00:00,missing,,2018-02-08T19:59:59.999+00:00,train,absent_from_UTC_grid
2018-02-08T20:00:00.000+00:00,missing,,2018-02-08T23:59:59.999+00:00,train,absent_from_UTC_grid
2018-02-09T00:00:00.000+00:00,missing,,2018-02-09T03:59:59.999+00:00,train,absent_from_UTC_grid
2018-02-09T04:00:00.000+00:00,missing,,2018-02-09T07:59:59.999+00:00,train,absent_from_UTC_grid
2018-06-26T00:00:00.000+00:00,early_close,2018-06-26T01:59:59.999+00:00,2018-06-26T03:59:59.999+00:00,train,close_time_before_nominal_end
2018-06-26T04:00:00.000+00:00,missing,,2018-06-26T07:59:59.999+00:00,train,absent_from_UTC_grid
2018-06-26T08:00:00.000+00:00,missing,,2018-06-26T11:59:59.999+00:00,train,absent_from_UTC_grid
2018-07-04T00:00:00.000+00:00,early_close,2018-07-04T00:22:25.551+00:00,2018-07-04T03:59:59.999+00:00,train,close_time_before_nominal_end
2018-07-04T04:00:00.000+00:00,missing,,2018-07-04T07:59:59.999+00:00,train,absent_from_UTC_grid
2018-10-19T04:00:00.000+00:00,early_close,2018-10-19T05:59:59.999+00:00,2018-10-19T07:59:59.999+00:00,train,close_time_before_nominal_end
2018-11-14T00:00:00.000+00:00,early_close,2018-11-14T01:59:59.999+00:00,2018-11-14T03:59:59.999+00:00,train,close_time_before_nominal_end
2018-11-14T04:00:00.000+00:00,missing,,2018-11-14T07:59:59.999+00:00,train,absent_from_UTC_grid
2019-03-12T00:00:00.000+00:00,early_close,2019-03-12T01:59:59.999+00:00,2019-03-12T03:59:59.999+00:00,train,close_time_before_nominal_end
2019-03-12T04:00:00.000+00:00,missing,,2019-03-12T07:59:59.999+00:00,train,absent_from_UTC_grid
2019-05-15T00:00:00.000+00:00,early_close,2019-05-15T02:59:59.999+00:00,2019-05-15T03:59:59.999+00:00,train,close_time_before_nominal_end
2019-05-15T04:00:00.000+00:00,missing,,2019-05-15T07:59:59.999+00:00,train,absent_from_UTC_grid
2019-05-15T08:00:00.000+00:00,missing,,2019-05-15T11:59:59.999+00:00,train,absent_from_UTC_grid
2019-08-15T00:00:00.000+00:00,early_close,2019-08-15T01:59:59.999+00:00,2019-08-15T03:59:59.999+00:00,train,close_time_before_nominal_end
2019-08-15T04:00:00.000+00:00,missing,,2019-08-15T07:59:59.999+00:00,train,absent_from_UTC_grid
2019-11-13T00:00:00.000+00:00,early_close,2019-11-13T01:59:59.999+00:00,2019-11-13T03:59:59.999+00:00,train,close_time_before_nominal_end
2019-11-25T00:00:00.000+00:00,early_close,2019-11-25T01:59:59.999+00:00,2019-11-25T03:59:59.999+00:00,train,close_time_before_nominal_end
2020-02-19T08:00:00.000+00:00,early_close,2020-02-19T11:35:32.286+00:00,2020-02-19T11:59:59.999+00:00,train,close_time_before_nominal_end
2020-02-19T12:00:00.000+00:00,missing,,2020-02-19T15:59:59.999+00:00,train,absent_from_UTC_grid
2020-04-25T00:00:00.000+00:00,early_close,2020-04-25T01:59:59.999+00:00,2020-04-25T03:59:59.999+00:00,train,close_time_before_nominal_end
2020-06-28T00:00:00.000+00:00,early_close,2020-06-28T01:59:59.999+00:00,2020-06-28T03:59:59.999+00:00,train,close_time_before_nominal_end
2020-12-21T12:00:00.000+00:00,early_close,2020-12-21T13:47:20.521+00:00,2020-12-21T15:59:59.999+00:00,train,close_time_before_nominal_end
2021-02-11T00:00:00.000+00:00,early_close,2021-02-11T03:40:54.773+00:00,2021-02-11T03:59:59.999+00:00,train,close_time_before_nominal_end
2021-04-20T00:00:00.000+00:00,early_close,2021-04-20T01:59:59.999+00:00,2021-04-20T03:59:59.999+00:00,train,close_time_before_nominal_end
2021-04-25T04:00:00.000+00:00,early_close,2021-04-25T04:00:58.146+00:00,2021-04-25T07:59:59.999+00:00,train,close_time_before_nominal_end
2021-08-13T00:00:00.000+00:00,early_close,2021-08-13T01:59:59.000+00:00,2021-08-13T03:59:59.999+00:00,train,close_time_before_nominal_end
2021-09-29T04:00:00.000+00:00,early_close,2021-09-29T06:59:59.999+00:00,2021-09-29T07:59:59.999+00:00,train,close_time_before_nominal_end
